ID,SKILL,DAMAGE_RATING,EFFECTS,DAMAGE_TYPE,FIRE_RATE,RANGE,QUALITIES,WEIGHT,COST,RARITY,DESCRIPTION,AMMO_TYPE,AVAILABLE_MODS
weaponHandmadeBoltAction,smallGuns,5,"[""effectPiercing 1""]",Fisico,0,R,Impreciso,1.5,30,0,"È un’arma artigianale che è facile scorgere nelle mani di coloro che non possono costruire, comprare o razziare nulla di meglio. Le armi artigianali sono rozze e alquanto inaffidabili, ma abbastanza efficaci; di solito i bolt-action sono fatti per sparare cartucce da fucile, rinunciando alla Cadenza di Fuoco in favore di potenza e semplicità. Un bolt-action artigianale può montare una per tipo delle seguenti modifiche. Non si può avere una mod sia all’Impugnatura che al Calcio. Ogni modifica al Calcio aggiunge la parola “Fucile” al nome dell’arma.",ammo_308,"Bocca: Baionetta, Compensatore, Rompifiamma, Silenziatore; Calcio: Calcio Completo, Calcio da Tiratore Scelto, Calcio per Compensazione del Rinculo; Canna: Canna Alettata, Canna Forata, Canna Lunga; Caricatore: Caricatore Grande, Caricatore Grande Rapido, Caricatore Rapido; Castello: Automatico, Calibrato, Castello .38, Castello .50, Potente, Temprato; Impugnatura: Impugnatura da Tiratore Esperto; Mirino: Mirino Corto, Mirino Corto Visione Notturna, Mirino da Ricognizione, Mirino Lungo, Mirino Lungo Visione Notturna, Mirino Reflex"
weaponDoubleBarrelShotgun,smallGuns,5,"[""effectSpread"",""effectVicious""]",Fisico,0,R,"A Due Mani, Impreciso",4.5,39,1,"Prima della Grande Guerra i fucili a doppia canna venivano usati soprattutto per la caccia e la difesa domestica... e le cose non sono cambiate granché. A canna basculante, si possono trovare sia a canne giustapposte che sovrapposte. Semplici da costruire e manutenere, non è insolito vederli nel Commonwealth e nel resto della Zona Contaminata. Un fucile a doppia canna può montare una per tipo delle seguenti modifiche:",ammo_shotgun_shell,"Bocca: Rompifiamma; Calcio: Calcio Completo; Canna: Canna Lunga, Canna Mozza; Castello: Avanzato, Grilletto Sensibile, Potente, Temprato; Mirino: Mirino Reflex"
weaponCombatShotgun,smallGuns,5,"[""effectSpread""]",Fisico,2,R,"A Due Mani, Impreciso",5.5,87,2,"Quelli da combattimento sono fucili a pompa usati solitamente da una fazione militare per assolvere ad uno scopo offensivo: sono perfetti per i combattimenti ravvicinati nei tunnel, dentro agli edifici o fra le strade in rovina delle vecchie città. Un fucile da combattimento può montare una per tipo delle seguenti modifiche:",ammo_shotgun_shell,"Bocca: Baionetta, Compensatore, Rompifiamma, Silenziatore; Calcio: Calcio Completo, Calcio da Tiratore Scelto, Calcio per Compensazione del Rinculo; Canna: Canna Forata, Canna Lunga; Caricatore: Caricatore Grande, Caricatore Grande Rapido, Caricatore Rapido; Castello: Automatico, Avanzato, Calibrato, Grilletto Sensibile, Potente, Temprato; Mirino: Mirino Corto, Mirino Corto Visione Notturna, Mirino da Ricognizione, Mirino Lungo, Mirino Lungo Visione Notturna, Mirino Reflex"
weaponAssaultRifle,smallGuns,5,"[""effectBurst""]",Fisico,2,M,"A Due Mani",6.5,144,2,"Questo fucile a gas è molto comune nella Zona Contaminata, oltre a essere molto apprezzato per via del poco rinculo, della sua discreta precisione e della facilità di personalizzazione. In genere ci si imbatte in versioni semiautomatiche, ma è un’arma che può diventare automatica facilmente. Un fucile d’assalto può montare una per tipo delle seguenti modifiche:",ammo_556mm,"Bocca: Compensatore, Silenziatore; Calcio: Calcio Completo, Calcio da Tiratore Scelto, Calcio per Compensazione del Rinculo; Canna: Canna Forata, Canna Lunga, Canna Ventilata; Caricatore: Caricatore Grande, Caricatore Grande Rapido, Caricatore Rapido; Castello: Automatico, Avanzato, Calibrato, Grilletto Sensibile, Temprato; Mirino: Mirino Corto, Mirino Corto Visione Notturna, Mirino da Ricognizione, Mirino Lungo, Mirino Lungo Visione Notturna, Mirino Reflex"
weaponHuntingRifle,smallGuns,6,"[""effectPiercing 1""]",Fisico,0,M,"A Due Mani",5,55,2,"Fucile bolt-action di cui si servono solitamente i supermutanti e i Predoni. Prima della Grande Guerra, la sua struttura semplice lo ha reso famoso fra i cacciatori e i survivalisti, oltre a renderlo personalizzabile all’infinito. Potrebbe sembrare eccessivo suggerire che un semplice lanciaproiettili a canne mozze utilizzato da un mutante possa essere trasformato in un fucile da cecchino, eppure ciò descrive alla perfezione la versatilità del fucile da caccia. Un fucile da caccia può montare una per tipo delle seguenti modifiche:",ammo_308,"Bocca: Baionetta, Silenziatore; Calcio: Calcio Completo, Calcio da Tiratore Scelto; Canna: Canna Forata, Canna Lunga, Canna Ventilata; Caricatore: Caricatore Grande, Caricatore Grande Rapido, Caricatore Rapido; Castello: Calibrato, Castello .38, Castello .50, Grilletto Sensibile, Potente, Temprato; Mirino: Mirino Corto, Mirino Corto Visione Notturna, Mirino da Ricognizione, Mirino Lungo, Mirino Lungo Visione Notturna, Mirino Reflex"
weaponCombatRifle,smallGuns,5,[],Fisico,2,M,"A Due Mani",5.5,117,2,"Si tratta di un’arma dell’anteguerra che si può trovare nella Zona Contaminata e che è ampiamente utilizzata da alcune fazioni bellicose. Le carabine da combattimento sono robuste e versatili e possono essere modificate per servire a diversi scopi in battaglia. Un fucile da combattimento può montare una per tipo delle seguenti modifiche:",ammo_45,"Bocca: Baionetta, Compensatore, Silenziatore; Calcio: Calcio Completo, Calcio da Tiratore Scelto, Calcio per compensazione del Rinculo; Canna: Canna Forata, Canna Lunga, Canna Ventilata; Caricatore: Caricatore Grande, Caricatore Grande Rapido, Caricatore Rapido; Castello: Automatico, Avanzato, Calibrato, Castello .38, Castello .308, Grilletto Sensibile, Potente, Temprato; Visione: Mirino Corto, Mirino Corto Visione Notturna, Mirino da Ricognizione, Mirino Lungo, Mirino Lungo Visione Notturna, Mirino Reflex"
weaponGaussRifle,smallGuns,10,"[""effectPiercing 1""]",Fisico,1,L,"A Due Mani",8,228,4,"Il fucile gauss sfrutta l’induzione magnetica per sparare proiettili ad una velocità incredibile e devastante. Ogni sparo può essere caricato affinché faccia il maggior danno possibile tenendo premuto il grilletto per un istante prima di rilasciarlo. Un fucile gauss può montare una per tipo delle seguenti modifiche:",ammo_2mmec,"Bocca: Silenziatore; Calcio: Calcio per Compensazione del Rinculo; Canna: Canna Schermata; Condensatore: Condensatore Completo, Condensatore con Bobina Potenziata; Mirino: Mirino Corto, Mirino Corto Visione Notturna, Mirino da Ricognizione, Mirino Lungo, Mirino Lungo Visione Notturna, Mirino Reflex"
weaponNailGun,smallGuns,10,"[""effectBreaking"",""Invalidante""]",Fisico,0,M,"A Due Mani, Inaffidabile ,",7,290,4,"Arma artigianale creata da intraprendenti ingegneri della Zona Contaminata, il fucile sparachiodi sfrutta del vapore ad alta pressione per sparare spuntoni sparachiodi a una velocità tale da riuscire a trapassare e impalare la maggior parte dei bersagli. Un fucile sparachiodi può montare una per tipo delle seguenti modifiche:",ammo_railway_spike,"Bocca: Baionetta; Calcio: Calcio per Compensazione del Rinculo; Canna: Canna Lunga; Castello: Castello Automatico a Pistone; Mirino: Mirino Corto, Mirino Corto Visione Notturna, Mirino da Ricognizione, Mirino Lungo, Mirino Lungo Visione Notturna, Mirino Reflex"
weaponMachineGun,smallGuns,3,"[""effectBurst""]",Fisico,3,R,"A Due Mani, Imprecisa",6,109,1,"Le mitragliatrici erano armi vecchie anche prima della Guerra e, sebbene siano mostruosamente imprecise, la loro Cadenza di Fuoco rende inutile la mira. Una mitragliatrice può montare una per tipo delle seguenti modifiche:",ammo_45,"Bocca: Compensatore, Rompifiamma, Silenziatore; Calcio: Calcio Completo, Calcio per Compensazione del Rinculo; Caricatore: Caricatore Grande, Caricatore Grande Rapido, Caricatore Rapido; Castello: Grilletto Sensibile, Potente, Temprato; Mirino: Mirino Reflex"
weaponFortyFourPistol,smallGuns,6,"[""effectVicious""]",Fisico,1,R,"Corpo a Corpo",2,99,2,"La pistola .44 è un revolver a doppia azione, pensato per utilizzare proiettili .44 Magnum. Si tratta di un’arma potente, ma non personalizzabile quanto altre rivoltelle. Il loro design semplice e robusto le rende preziose agli occhi dei proprietari, ma non è così difficile vederne una da poterla definire davvero rara. Una pistola .44 può montare una per tipo delle seguenti modifiche:",ammo_44_magnum,"Canna: Ridotta, Canna Stabile; Castello: Avanzato, Potente, Temprato; Impugnatura: Impugnatura Ergonomica; Mirino: Mirino Corto, Mirino da Ricognizione, Mirino Reflex"
weaponTenMillimeterPistol,smallGuns,4,[],Fisico,2,R,"Affidabile, Corpo a Corpo",2,50,1,"Piccola, affidabile, abbastanza potente e facilmente reperibile, la pistola 10mm è una costante nei combattimenti nella Zona Contaminata sin dal momento in cui caddero le prime bombe. La sua versatilità e il potenziale di personalizzazione implicano che una pistola 10mm ben tenuta terrà a sua volta il proprietario al sicuro per molto tempo. Una pistola 10mm può montare una per tipo delle seguenti modifiche:",ammo_10mm,"Bocca: Compensatore, Silenziatore; Canna: Canna Forata, Canna Lunga; Caricatore: Caricatore Grande, Caricatore Grande Rapido, Caricatore Rapido; Castello: Automatico, Avanzato, Calibrato, Grilletto Sensibile, Potente, Temprato; Impugnatura: Impugnatura Ergonomica, Impugnatura da Tiratore Esperto; Mirino: Mirino da Ricognizione, Mirino Reflex"
weaponHandmadePistol,smallGuns,3,[],Fisico,2,R,"a Corpo, Inaffidabile",1,30,0,"Primitive, fatte in casa, normalmente impiegate da chi non può costruire, comprare o razziare nulla di meglio, le pistole artigianali sono rozze e alquanto inaffidabili, ma efficaci quanto basta. Quelle più comuni assomgliano a delle piccole semiautomatiche, fatte per ospitare delle comuni munizioni .38... ma si sa che ci sono stati degli ardimentosi (o disperati) che le hanno modificate per farle diventare automatiche o di precisione. Una pistola artigianale può montare una per tipo delle seguenti modifiche. Ogni mod al Calcio cambia la parola “Pistola” nel nome dell’arma in “Fucile”.",ammo_38,"Bocca: Baionetta, Compensatore, Rompifiamma, Silenziatore; Calcio: Calcio Completo, Calcio da Tiratore Scelto, Calcio per Compensazione del Rinculo; Canna: Canna Alettata, Canna Forata, Canna Lunga; Caricatore: Caricatore Grande, Caricatore Grande Rapido, Caricatore Rapido; Castello: Automatico, Calibrato, Castello .45, Grilletto Sensibile, Temprato; Mirino: Mirino Corto, Mirino Corto Visione Notturna, Mirino da Ricognizione, Mirino Lungo, Mirino Lungo Visione Notturna, Mirino Reflex"
weaponFlareGun,smallGuns,3,[],Fisico,0,M,Affidabile,1,50,1,"Una pistola lanciarazzi è un’arma a colpo singolo a canna basculante non propriamente progettata per infliggere danni, quanto piuttosto per eiettare razzi di segnalazione, che molte fazioni usano per richiedere aiuto sparandoli in aria.",ammo_missile,
weaponHandmadeRevolver,smallGuns,4,[],Fisico,1,R,"a Corpo, Inaffidabile",2,25,0,"Proprio come le altre armi artigianali, anche queste sono delle pistole di fortuna o fatte in casa, in questo caso sulla base di un revolver. Si tratta di un punto d’incontro tra la potenza di fuoco del bolt-action e la rapidità di fuoco delle pistole, inoltre essendo anch’esso un’arma “Improvvisata” è parimenti facile da modificare. Un revolver artigianale può montare una per tipo delle seguenti modifiche. Ogni mod al Calcio aggiunge la parola “Fucile” nel nome dell’arma.",ammo_45,"Bocca: Baionetta, Compensatore, Rompifiamma, Silenziatore; Calcio: Calcio Completo, Calcio da Tiratore Scelto, Calcio per Compensazione del Rinculo; Canna: Canna Alettata, Canna Forata, Canna Lunga; Castello: Calibrato, Castello .38, Castello.308, Potente, Temprato; Impugnatura: Impugnatura da Tiratore Esperto; Mirino: Mirino Corto, Mirino Corto Visione Notturna, Mirino da Ricognizione, Mirino Lungo, Mirino Lungo Visione Notturna, Mirino Reflex"
weaponSyringer,smallGuns,3,[],Fisico,0,M,"A Due Mani",3,132,2,"Si tratta di un’arma artigianale ad aria compressa che spara sul bersaglio delle siringhe personalizzate che di per sé fanno poco danno, ma possono infliggere un’ampia gamma di effetti debilitanti. Un Syringer può montare una per tipo delle seguenti modifiche:",ammo_syringer,"Calcio: Calcio da Tiratore Scelto, Calcio per Compensazione del Rinculo; Canna: Canna Lunga; Mirino: Mirino Corto, Mirino Corto Visione Notturna, Mirino da Ricognizione, Mirino Lungo, Mirino Lungo Visione Notturna, Mirino Reflex"